m,kg/m2/s,kg/m2/s,kg/m2/s,kg/m2/s,kg/m2/s,kg/m2/s,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
y ,BR 05-105,BR 22-105,BR 05-145,BR 22-145,BR 05-185,BR 22-185,WT 05-105,WT 22-105,WT 05-145,WT 22-145,WT 05-185,WT 22-185,TF 05-105,TF 22-105,TF 05-145,TF 22-145,TF 05-185,TF 22-185,RF 05-105,RF 22-105,RF 05-145,RF 22-145,RF 05-185,RF 22-185,CF 05-105,CF 22-105,CF 05-145,CF 22-145,CF 05-185,CF 22-185
1.00E-02,0.008178193,0.00024984,0.02053838,0.000481538,0.029418214,0.000527513,405.39892,219.2506,438.05576,249.94605,452.24409,276.29733,23.756915,9.886566,36.820296,9.7729015,46.04319,9.1769128,22.436329,10.089587,28.494069,10.263573,35.295644,9.492437,1.3205854,-0.20302087,8.3262264,-0.49067105,10.747546,-0.31552418
2.00E-02,0.024777233,6.69E-05,0.026426289,9.60E-05,0.026361095,0.000180739,449.35828,148.97133,447.47436,176.36594,445.0884,201.40897,44.765127,6.7116573,43.628439,7.2483015,42.087042,6.7966478,36.93689,6.9896391,38.236942,7.3102253,38.072764,7.0738358,7.8282373,-0.27798178,5.3914971,-0.061923784,4.014278,-0.27718796
3.00E-02,0.020589775,6.46E-05,0.022574195,9.00E-05,0.022458982,0.000182325,440.20956,144.92207,440.00701,173.0787,437.16083,202.29321,38.937248,6.6830497,38.713712,7.6180476,36.6373,6.9439382,33.392474,6.6039105,34.626914,7.1948222,33.384791,6.8194521,5.5447738,0.079139253,4.0867981,0.42322546,3.2525089,0.12448616
4.00E-02,0.01817605,6.59E-05,0.020488363,0.000105807,0.020618093,0.000282432,435.06319,149.87352,436.09463,182.81639,433.09899,219.38394,36.071069,7.7102808,36.426382,8.2130871,34.049128,7.8467567,30.409849,7.1138479,31.821174,7.4764551,30.186042,7.1655314,5.6612204,0.59643296,4.6052078,0.73663206,3.8630855,0.68122529
5.00E-02,0.016326834,7.35E-05,0.01933691,0.000181667,0.020139037,0.000574433,430.84558,164.60218,433.8632,207.58867,432.11038,255.21701,33.8558,9.3438581,35.003738,10.065995,33.418452,10.62576,27.993143,8.0658374,30.079746,8.5149559,28.966178,8.6873618,5.862657,1.2780207,4.923992,1.5510393,4.4522736,1.9383979
6.00E-02,0.01559938,8.63E-05,0.019462789,0.000359074,0.020991885,0.000726448,429.43045,178.42822,434.65626,232.92379,434.46239,290.98197,33.259634,10.45688,35.378841,10.62291,34.926718,13.337719,27.166209,8.8727846,30.22356,8.9875182,30.083672,10.390533,6.0934252,1.584095,5.1552808,1.6353919,4.8430464,2.9471866
7.00E-02,0.015361435,0.000100278,0.02014307,0.000568285,0.022285598,0.000899933,429.4299,187.27588,436.6804,255.49965,437.66157,331.42061,33.543331,10.816895,36.396882,12.959566,36.901529,17.633723,27.339455,9.4473918,30.93202,10.67681,31.87264,13.079376,6.2038767,1.3695034,5.4648615,2.2827559,5.028889,4.5543471
8.00E-02,0.015895662,0.000111554,0.021279149,0.000769133,0.024972108,0.002504594,431.26414,193.88711,439.91753,278.65711,443.37413,372.1784,34.662797,11.903594,38.338776,15.391749,40.440514,21.324043,28.311237,10.55737,32.643373,12.482882,35.072418,15.850201,6.3515597,1.3462237,5.6954034,2.9088675,5.3680958,5.4738421
9.00E-02,0.01618967,0.000119749,0.022558108,0.000915478,0.026799427,0.007736148,432.34213,198.1267,443.16376,300.5479,447.2882,406.48815,35.377515,12.926707,40.278983,17.798362,43.141624,27.00021,28.962176,11.471344,34.507239,14.112512,37.794176,19.772697,6.4153391,1.4553629,5.7717443,3.6858503,5.347448,7.227513
1.00E-01,0.017053892,0.000126594,0.024307849,0.001030515,0.028359317,0.012646805,434.99124,202.13272,447.50282,317.20449,450.61246,422.28712,36.894222,14.531277,43.12784,19.811732,45.633746,30.926672,30.405273,12.498363,37.316939,15.589469,40.43823,23.091739,6.488949,2.0329137,5.8109009,4.2222632,5.1955158,7.8349337
1.10E-01,0.017067336,0.000109398,0.024327904,0.001192146,0.029339602,0.015859785,435.58387,195.55804,448.2922,332.39461,452.89544,430.64355,37.464596,14.110343,43.889897,21.916006,47.497324,34.115805,30.902395,12.201163,38.241155,17.638656,42.517882,25.86181,6.5622002,1.9091801,5.6487414,4.2773506,4.9794424,8.2539944
1.20E-01,0.01699836,9.89E-05,0.025691111,0.001363497,0.030149504,0.018593238,436.24272,191.54815,451.77854,344.67581,454.77758,437.32508,38.112771,14.414477,46.342037,24.174536,49.03743,37.274195,31.444647,12.374564,40.768833,19.321004,44.114309,28.88811,6.6681248,2.0399136,5.5732041,4.8535314,4.9231206,8.3860849
1.30E-01,0.0161593,8.74E-05,0.025850585,0.001474344,0.030899693,0.019409231,434.99413,185.00836,452.4919,348.25468,456.58256,439.36343,37.860369,14.083204,46.854412,24.357636,50.505594,38.407977,30.991472,12.266838,41.295229,19.660376,45.614205,30.317043,6.8688971,1.8163664,5.5591832,4.6972597,4.8913892,8.0909346
1.40E-01,0.014323756,7.17E-05,0.025241475,0.001266772,0.029810527,0.019121525,431.50077,170.62843,451.76919,333.4287,455.10323,438.83091,36.822258,12.857805,46.450294,24.878421,49.343519,38.211931,29.649034,11.211838,40.764068,20.080841,44.336914,30.130345,7.1732239,1.6459668,5.6862263,4.7975797,5.0066052,8.0815861



























