r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.36,     0.33,     0.30,     0.18,   757.66,   280.31
-4.0,     0.39,     0.33,     0.29,     0.16,   829.52,   261.97
-3.0,     0.45,     0.29,     0.26,     0.14,   915.31,   222.40
-2.0,     0.51,     0.21,     0.18,     0.12,   992.40,   160.70
-1.0,     0.55,     0.14,     0.09,     0.11,  1025.47,   109.97
 0.0,     0.55,     0.12,    -0.00,     0.11,  1029.49,    97.85
 1.0,     0.55,     0.14,    -0.09,     0.11,  1029.10,   110.73
 2.0,     0.51,     0.21,    -0.18,     0.12,   992.06,   164.06
 3.0,     0.44,     0.29,    -0.26,     0.14,   910.89,   227.88
 4.0,     0.38,     0.33,    -0.29,     0.16,   824.81,   266.98
 4.1,     0.38,     0.33,    -0.29,     0.16,   818.93,   268.49
 5.0,     0.35,     0.33,    -0.30,     0.18,   754.28,   284.60
 6.0,     0.33,     0.32,    -0.30,     0.19,   697.69,   293.69
 7.0,     0.32,     0.30,    -0.29,     0.19,   655.82,   298.09
 7.9,     0.32,     0.29,    -0.28,     0.19,   629.79,   299.17
 8.0,     0.32,     0.28,    -0.28,     0.19,   627.43,   299.27
 9.0,     0.32,     0.27,    -0.28,     0.19,   598.50,   300.50
10.0,     0.30,     0.27,    -0.28,     0.19,   561.16,   300.46
11.0,     0.27,     0.27,    -0.27,     0.19,   523.29,   292.79
12.0,     0.24,     0.25,    -0.27,     0.19,   481.85,   266.62
13.0,     0.17,     0.20,    -0.26,     0.18,   421.08,   206.35
14.0,     0.08,     0.14,    -0.24,     0.17,   354.26,   120.28
15.0,     0.03,     0.10,    -0.21,     0.15,   313.77,    46.05
16.0,     0.01,     0.08,    -0.20,     0.12,   302.11,     9.03
17.0,     0.02,     0.06,    -0.18,     0.11,   300.63,     0.84
18.0,     0.01,     0.05,    -0.17,     0.09,   300.51,     0.05
19.0,     0.02,     0.05,    -0.16,     0.08,   300.50,     0.01
20.0,     0.02,     0.04,    -0.15,     0.08,   300.49,     0.01
